Elementnummer;Cluster;AGS;Gemeinde;Landkreis;RWK
048.07;Optik und Photonik;12051000;Brandenburg an der Havel;Brandenburg an der Havel;Brandenburg an der Havel
040.04;Energie;12052000;Cottbus;Cottbus;Cottbus
KS.001.29;Metall;12052000;Cottbus;Cottbus;Cottbus
FS.001.04;Metall;12052000;Cottbus;Cottbus;Cottbus
HF1.038.06;Energie;12052000;Cottbus;Cottbus;Cottbus
IS.001.32;Metall;12052000;Cottbus;Cottbus;Cottbus
010.14;Optik und Photonik;12053000;Frankfurt (Oder);Frankfurt (Oder)/ Eisenhüttenstadt;Frankfurt (Oder)/ Eisenhüttenstadt
071.05;Optik und Photonik;12053000;Frankfurt (Oder);Frankfurt (Oder)/ Eisenhüttenstadt;Frankfurt (Oder)/ Eisenhüttenstadt
AUT.001.03.be;VML;12054000;Potsdam;Potsdam;Potsdam
LuR.006.04.bb;VML;12054000;Potsdam;Potsdam;Potsdam
CMT.007.01.be;VML;12054000;Potsdam;Potsdam;Potsdam
SVT.006.09.be;VML;12054000;Potsdam;Potsdam;Potsdam
CMT.006.06.bb;VML;12054000;Potsdam;Potsdam;Potsdam
CMT.006.07.be;VML;12054000;Potsdam;Potsdam;Potsdam
031.02.bb;Optik und Photonik;12054000;Potsdam;Potsdam;Potsdam
031.03.bb;Optik und Photonik;12054000;Potsdam;Potsdam;Potsdam
031.05.bb;Optik und Photonik;12054000;Potsdam;Potsdam;Potsdam
LOG.011.02.bb;VML;12054000;Potsdam;Potsdam;Potsdam
029.01;Optik und Photonik;12054000;Potsdam;Potsdam;Potsdam
029.02;Optik und Photonik;12054000;Potsdam;Potsdam;Potsdam
029.03;Optik und Photonik;12054000;Potsdam;Potsdam;Potsdam
IS.001.04;Metall;12054000;Potsdam;Potsdam;Potsdam
AUT.006.06.bb;VML;12054000;Potsdam;Potsdam;Potsdam
015.01;Optik und Photonik;12054000;Potsdam;Potsdam;Potsdam
HF3.001.16.bb;GeWi;12054000;Potsdam;Potsdam;Potsdam
HF1.005.11bb;GeWi;12054000;Potsdam;Potsdam;Potsdam
041.02;Energie;12054000;Potsdam;Potsdam;Potsdam
003.15;Optik und Photonik;12054000;Potsdam;Potsdam;Potsdam
003.16;Optik und Photonik;12054000;Potsdam;Potsdam;Potsdam
010.12;Optik und Photonik;12054000;Potsdam;Potsdam;Potsdam
073.03;Optik und Photonik;12054000;Potsdam;Potsdam;Potsdam
075.01;Optik und Photonik;12054000;Potsdam;Potsdam;Potsdam
071.01;Optik und Photonik;12054000;Potsdam;Potsdam;Potsdam
BS002.07;KuChe;12054000;Potsdam;Potsdam;Potsdam
062.02;Energie;12054000;Potsdam;Potsdam;Potsdam
068.05;Optik und Photonik;12054000;Potsdam;Potsdam;Potsdam
HF1.004.10.bb;GeWi;12054000;Potsdam;Potsdam;Potsdam
LV001.25;KuChe;12054000;Potsdam;Potsdam;Potsdam
HF2.002.29.bb;GeWi;12054000;Potsdam;Potsdam;Potsdam
IF-c02.001.13bb;IMK;12054000;Potsdam;Potsdam;Potsdam
HF4.004.20.bb;GeWi;12054000;Potsdam;Potsdam;Potsdam
HF1.001.03;Ernährung;12054000;Potsdam;Potsdam;Potsdam
HF1.003.03;Ernährung;12054000;Potsdam;Potsdam;Potsdam
HF1.004.11;Ernährung;12054000;Potsdam;Potsdam;Potsdam
HF1.004.12;Ernährung;12054000;Potsdam;Potsdam;Potsdam
HF2.003.03;Ernährung;12054000;Potsdam;Potsdam;Potsdam
HF1.005.04;Ernährung;12054000;Potsdam;Potsdam;Potsdam
HF4.007.01;Ernährung;12054000;Potsdam;Potsdam;Potsdam
IT1.002.01;Ernährung;12054000;Potsdam;Potsdam;Potsdam
HF3.003.38.bb;GeWi;12054000;Potsdam;Potsdam;Potsdam
KS.001.39;Metall;12054000;Potsdam;Potsdam;Potsdam
KS.001.40;Metall;12054000;Potsdam;Potsdam;Potsdam
KS.001.41;Metall;12054000;Potsdam;Potsdam;Potsdam
HF1.007.42.bb;GeWi;12054000;Potsdam;Potsdam;Potsdam
WT003.03;KuChe;12054000;Potsdam;Potsdam;Potsdam
HF4.007.02;Ernährung;12054000;Potsdam;Potsdam;Potsdam
HF4.004.22.bb;GeWi;12054000;Potsdam;Potsdam;Potsdam
057.07;Optik und Photonik;12054000;Potsdam;Potsdam;Potsdam
031.17;Optik und Photonik;12054000;Potsdam;Potsdam;Potsdam
IF-q03.001.10.bb;IMK;12054000;Potsdam;Potsdam;Potsdam
IF-c03.001.09.bb;IMK;12054000;Potsdam;Potsdam;Potsdam
IF-c03.001.10.bb;IMK;12054000;Potsdam;Potsdam;Potsdam
IF-b05.001.07bb;IMK;12054000;Potsdam;Potsdam;Potsdam
IF-b02.008.11.bb;IMK;12054000;Potsdam;Potsdam;Potsdam
IF-b05.001.08bb;IMK;12054000;Potsdam;Potsdam;Potsdam
IF-q01.012.001bb;IMK;12054000;Potsdam;Potsdam;Potsdam
IF-q02.001.09.bb;IMK;12054000;Potsdam;Potsdam;Potsdam
IF-b03.002.10.bb;IMK;12054000;Potsdam;Potsdam;Potsdam
CMT.003.06.be;VML;12054000;Potsdam;Potsdam;Potsdam
065.03;Energie;12054000;Potsdam;Potsdam;Potsdam
SVT.006.08.bb;VML;12054000;Potsdam;Potsdam;Potsdam
KS.001.44;Metall;12054000;Potsdam;Potsdam;Potsdam
KS.001.45;Metall;12054000;Potsdam;Potsdam;Potsdam
HF1.007.45.bb;GeWi;12054000;Potsdam;Potsdam;Potsdam
007.16;Optik und Photonik;12054000;Potsdam;Potsdam;Potsdam
HF1.007.46.bb;GeWi;12054000;Potsdam;Potsdam;Potsdam
IF-q01.013bb;IMK;12054000;Potsdam;Potsdam;Potsdam
IF-b05.001.09.bb;IMK;12054000;Potsdam;Potsdam;Potsdam
049.01;Energie;12054000;Potsdam;Potsdam;Potsdam
HF1.004.14;Ernährung;12054000;Potsdam;Potsdam;Potsdam
SVT.006.12.be;VML;12054000;Potsdam;Potsdam;Potsdam
031.20;Optik und Photonik;12054000;Potsdam;Potsdam;Potsdam
LOG.002.01.bb;VML;12061540;Wildau;Dahme-Spreewald;Schönefelder Kreuz
LuR.003.03.bb;VML;12061540;Wildau;Dahme-Spreewald;Schönefelder Kreuz
CMT.011.03.bb;VML;12061540;Wildau;Dahme-Spreewald;Schönefelder Kreuz
KS.001.27;Metall;12061540;Wildau;Dahme-Spreewald;Schönefelder Kreuz
KS.001.28;Metall;12061540;Wildau;Dahme-Spreewald;Schönefelder Kreuz
063.04;Optik und Photonik;12061540;Wildau;Dahme-Spreewald;Schönefelder Kreuz
IS.001.29;Metall;12061540;Wildau;Dahme-Spreewald;Schönefelder Kreuz
FS.001.05;Metall;12061540;Wildau;Dahme-Spreewald;Schönefelder Kreuz
IF-q02.004.01.bb;IMK;12062140;Finsterwalde;Elbe-Elster;Westlausitz
005.05;Tourismus;12063208;Nauen;Havelland;
FS.001.06;Metall;12063244;Premnitz;Havelland;
SVT.006.10.bb;VML;12063357;Wustermark;Havelland;
SVT.001.03.be;VML;12065136;Hennigsdorf;Oberhavel;Oranienburg - Henningsdorf - Velten (O-H-V)
SVT.010.07.be;VML;12065136;Hennigsdorf;Oberhavel;Oranienburg - Henningsdorf - Velten (O-H-V)
FS.001.03;Metall;12067120;Eisenhüttenstadt;Oder-Spree;Frankfurt (Oder)/ Eisenhüttenstadt
IF-q03.001.12.bb;IMK;12068320;Neuruppin;Ostprignitz-Ruppin;Neuruppin
036.04;Optik und Photonik;12069304;Kleinmachnow;Potsdam-Mittelmark;
IF-b03.002.09bb;IMK;12069306;Kloster Lehnin;Potsdam-Mittelmark;
KS.001.38;Metall;12069616;Teltow;Potsdam-Mittelmark;
SVT.006.05.be;VML;12070325;Putlitz;Prignitz;
